meanRMSD	sdRMSD	meanCI	meanSpearman	sdSpearman	minSpearman	drug	Kpatient	Kdrug
X17.AAG..Tanespimycin.	37.6425696505647	3.85585640770392	0	0.587099803636984	0.0877954224531711	0.411855203619909	X17.AAG..Tanespimycin.	KrnarestrictRbf4	Kempirical
A.674563	47.2414293328954	3.73984961213244	0	0.278823624273125	0.0976026635359872	0.13933236574746	A.674563	KrnarestrictRbf4	Kempirical
ABT.737	54.94089862037	5.97292430142455	0	0.206058697400161	0.105073489868741	0.0165505226480836	ABT.737	KrnarestrictRbf4	Kempirical
AT7519	36.8070598379249	5.57662339734008	0	0.321125450180072	0.0883493256328269	0.183769507803121	AT7519	KrnarestrictRbf4	Kempirical
AZD1480	40.904215238657	6.07780459150986	0	0.290136652808481	0.122287878670672	0.093393665158371	AZD1480	KrnarestrictRbf4	Kempirical
Afatinib..BIBW.2992.	40.1526781639982	6.78969962315687	0	0.148163408178946	0.140780824128197	-0.0409801075727824	Afatinib..BIBW.2992.	KrnarestrictRbf4	Kempirical
Alisertib..MLN8237.	36.938694674442	6.5207004994581	0	0.266281477881783	0.119717345743549	0.0315034576965764	Alisertib..MLN8237.	KrnarestrictRbf4	Kempirical
Axitinib..AG.013736.	40.4192867444146	4.50570516707665	0	0.450323431128386	0.140329264291107	0.204311117077645	Axitinib..AG.013736.	KrnarestrictRbf4	Kempirical
BEZ235	51.8138423083683	3.53478258385117	0	0.284984965014086	0.124838583523619	0.0839819004524887	BEZ235	KrnarestrictRbf4	Kempirical
BI.2536	41.1122413812304	8.73916313271591	0	0.179978991596639	0.245363822479518	-0.160714285714286	BI.2536	KrnarestrictRbf4	Kempirical
BMS.345541	30.3168357329815	3.71307071174199	0	0.107863399641424	0.138809583330116	-0.0547255186544865	BMS.345541	KrnarestrictRbf4	Kempirical
Barasertib..AZD1152.HQPA.	39.5370551385289	6.36142581521406	0	0.407285067873303	0.196909270035083	0.00524886877828054	Barasertib..AZD1152.HQPA.	KrnarestrictRbf4	Kempirical
Bay.11.7085	36.3131499805846	6.22485178675355	0	0.428776067261085	0.121017141616212	0.2998712998713	Bay.11.7085	KrnarestrictRbf4	Kempirical
Bortezomib..Velcade.	55.1319183542379	5.97842845326023	0	0.252239635179446	0.125637007937017	0.0703491846666097	Bortezomib..Velcade.	KrnarestrictRbf4	Kempirical
Bosutinib..SKI.606.	42.6310377718843	5.64741315030777	0	0.413782306832943	0.0996542198591994	0.241697259455306	Bosutinib..SKI.606.	KrnarestrictRbf4	Kempirical
CHIR.99021	34.0988012563792	7.20770266130587	0	0.0848895695846956	0.139515463643376	-0.141102630369854	CHIR.99021	KrnarestrictRbf4	Kempirical
CI.1040..PD184352.	45.8264180934112	5.18768927003276	0	0.434505250576283	0.0764040550602849	0.299837787074191	CI.1040..PD184352.	KrnarestrictRbf4	Kempirical
CYT387	42.7881844172517	2.94553316043461	0	0.332742081447964	0.0952429507865213	0.135837104072398	CYT387	KrnarestrictRbf4	Kempirical
Cabozantinib	44.3831882018746	6.84938651616562	0	0.541569879620934	0.11446425322793	0.290769230769231	Cabozantinib	KrnarestrictRbf4	Kempirical
Canertinib..CI.1033.	34.7871222318845	4.32615327595124	0	0.450930760693247	0.0912713154801092	0.346794160334671	Canertinib..CI.1033.	KrnarestrictRbf4	Kempirical
Cediranib..AZD2171.	34.8249693550901	5.7470349660077	0	0.411339897114744	0.0864276968624857	0.273365021708677	Cediranib..AZD2171.	KrnarestrictRbf4	Kempirical
Crenolanib	39.7110224362322	4.29507077800327	0	0.509061593868317	0.108073681876203	0.263257918552036	Crenolanib	KrnarestrictRbf4	Kempirical
Crizotinib..PF.2341066.	36.5804239424782	4.11108806327333	0	0.278144224196856	0.127316029055346	0.12041847041847	Crizotinib..PF.2341066.	KrnarestrictRbf4	Kempirical
DBZ	44.2446499232141	8.23111455435013	0	0.122368421052632	0.16352113869808	-0.153238866396761	DBZ	KrnarestrictRbf4	Kempirical
Dasatinib	52.204933231897	3.1236809863561	0	0.500993383847532	0.109877170947136	0.364524948735475	Dasatinib	KrnarestrictRbf4	Kempirical
Doramapimod..BIRB.796.	51.5130208215823	3.18407460778131	0	0.42766426527551	0.104373497299912	0.257647058823529	Doramapimod..BIRB.796.	KrnarestrictRbf4	Kempirical
Dovitinib..CHIR.258.	43.2749410620665	3.00679141651781	0	0.579865619397251	0.0528363397832645	0.517647058823529	Dovitinib..CHIR.258.	KrnarestrictRbf4	Kempirical
Elesclomol	46.5635645033488	7.44948849169265	0	0.540867947178872	0.0884056518019461	0.415990396158463	Elesclomol	KrnarestrictRbf4	Kempirical
Entospletinib..GS.9973.	39.5975605092977	3.22540673826243	0	0.484044848308576	0.127942782399958	0.254727474972191	Entospletinib..GS.9973.	KrnarestrictRbf4	Kempirical
Entrectinib	38.3566152124031	6.97882175763004	0	0.318181818181818	0.357138921662693	-0.245454545454545	Entrectinib	KrnarestrictRbf4	Kempirical
Erlotinib	30.1204512685573	2.84197828197471	0	0.425579479000532	0.11114490048727	0.235281385281385	Erlotinib	KrnarestrictRbf4	Kempirical
Flavopiridol	52.5288984516143	5.08993373593735	0	0.397395385998839	0.110951627166554	0.156836127554338	Flavopiridol	KrnarestrictRbf4	Kempirical
Foretinib..XL880.	42.9316738833023	4.6250932659791	0	0.580398190045249	0.0697576953174365	0.475746606334842	Foretinib..XL880.	KrnarestrictRbf4	Kempirical
GDC.0879	32.1735255938739	3.9286710144858	0	0.0722871577033035	0.117647566931629	-0.173274244443018	GDC.0879	KrnarestrictRbf4	Kempirical
GDC.0941	41.9772768875141	6.21931307455586	0	0.330412363835451	0.134840230712277	0.16049953746531	GDC.0941	KrnarestrictRbf4	Kempirical
GSK.1838705A	38.0775381992788	4.88854178916423	0	0.311168713624677	0.117883847432732	0.0619004524886878	GSK.1838705A	KrnarestrictRbf4	Kempirical
GSK.1904529A	36.4619811706526	3.98447552918959	0	0.196946735484534	0.0824300820259473	0.0846153846153846	GSK.1904529A	KrnarestrictRbf4	Kempirical
GSK690693	38.2174650662316	5.10341215532645	0	0.22876341383261	0.107848405221418	-0.0315837104072398	GSK690693	KrnarestrictRbf4	Kempirical
GW.2580	36.1170652957819	2.12095839930932	0	0.3847506756558	0.122761240258323	0.232857142857143	GW.2580	KrnarestrictRbf4	Kempirical
Gefitinib	31.0835878124699	4.18010601591156	0	0.347353122965153	0.161343191880828	0.0531024531024531	Gefitinib	KrnarestrictRbf4	Kempirical
Gilteritinib..ASP.2215.	47.8728474724017	6.38172350778707	0	0.420482778091474	0.11711972259342	0.184782608695652	Gilteritinib..ASP.2215.	KrnarestrictRbf4	Kempirical
Go6976	37.759831023706	5.63821639996335	0	0.46958041958042	0.192880900333681	0.174825174825175	Go6976	KrnarestrictRbf4	Kempirical
INK.128	49.8923305176665	8.60918667172864	0	0.325868692905319	0.176528211348829	0.0596772816528643	INK.128	KrnarestrictRbf4	Kempirical
Ibrutinib..PCI.32765.	41.6799296195822	3.69066471200698	0	0.477958806094131	0.105459602579436	0.321645679548415	Ibrutinib..PCI.32765.	KrnarestrictRbf4	Kempirical
Idelalisib	46.4258836105951	6.46973778418963	0	0.294264105642257	0.151839543776988	-0.0116686674669868	Idelalisib	KrnarestrictRbf4	Kempirical
Imatinib	39.2224033284767	2.18267412622304	0	0.265003107618985	0.137291000199148	0.0392144153487166	Imatinib	KrnarestrictRbf4	Kempirical
JAK.Inhibitor.I	44.9116983155975	4.17395263946352	0	0.313712285494749	0.0984240606645703	0.147955263382566	JAK.Inhibitor.I	KrnarestrictRbf4	Kempirical
JNJ.28312141	53.6624554512883	4.61327183330573	0	0.452968787515006	0.118264846809781	0.246578631452581	JNJ.28312141	KrnarestrictRbf4	Kempirical
JNJ.38877605	31.8771600558117	4.32422398741415	0	0.245121659694357	0.176338516100052	0.0816187142491249	JNJ.38877605	KrnarestrictRbf4	Kempirical
JNJ.7706621	30.6214847090066	2.96328192640712	0	0.197838583909616	0.130931206330085	0.0363698454708444	JNJ.7706621	KrnarestrictRbf4	Kempirical
JQ1	39.6340310927232	4.35721031324156	0	0.464839124839125	0.207937510734763	0.141055341055341	JQ1	KrnarestrictRbf4	Kempirical
KI20227	54.7848591276819	6.80085308225858	0	0.331598793999794	0.106125364128828	0.123104777988013	KI20227	KrnarestrictRbf4	Kempirical
KU.55933	38.9782935185284	4.30703729969598	0	0.338447670576317	0.154704434889579	0.0293056023111473	KU.55933	KrnarestrictRbf4	Kempirical
KW.2449	44.1324437465883	5.85894342382816	0	0.558952397610845	0.118243592586051	0.368597285067873	KW.2449	KrnarestrictRbf4	Kempirical
LY.333531	28.1066417265149	1.97430750812355	0	0.528107895311003	0.0938086281401345	0.377016989669598	LY.333531	KrnarestrictRbf4	Kempirical
Lapatinib	31.7895061364618	3.58948264437259	0	0.369045032535599	0.0824911728320048	0.267676767676768	Lapatinib	KrnarestrictRbf4	Kempirical
Lenalidomide	47.5526914770632	13.9579376940225	0	0.464286948897242	0.239815916494969	-0.086116125963585	Lenalidomide	KrnarestrictRbf4	Kempirical
Lenvatinib	36.1944761192039	4.90938299259472	0	0.551884321296086	0.0723157390041725	0.469467787114846	Lenvatinib	KrnarestrictRbf4	Kempirical
Lestaurtinib..CEP.701.	42.1767167522941	6.77246747757504	0	0.36958041958042	0.20202791958243	0.1	Lestaurtinib..CEP.701.	KrnarestrictRbf4	Kempirical
Linifanib..ABT.869.	47.7350675859918	3.5424044483771	0	0.483545808908424	0.135688899477663	0.283957995389738	Linifanib..ABT.869.	KrnarestrictRbf4	Kempirical
Lovastatin	48.7543703603341	8.78271098323673	0	0.0715084226355758	0.164109853913303	-0.2266969914951	Lovastatin	KrnarestrictRbf4	Kempirical
MGCD.265	44.2149826452795	4.28654202739663	0	0.482413888632376	0.107288174757473	0.267707082833133	MGCD.265	KrnarestrictRbf4	Kempirical
