meanRMSD	sdRMSD	meanCI	meanSpearman	sdSpearman	minSpearman	drug	Kpatient	Kdrug
X17.AAG..Tanespimycin.	37.7843270555446	3.81296636088329	0	0.586000341500896	0.092953305562803	0.388054298642534	X17.AAG..Tanespimycin.	KrnarestrictRbf3	Kempirical
A.674563	47.377537019316	3.86921476550239	0	0.293244448238899	0.120782422883684	0.132502347818663	A.674563	KrnarestrictRbf3	Kempirical
ABT.737	54.4409771735665	4.26397551096997	0	0.217204502814259	0.0760164802217051	0.110627177700348	ABT.737	KrnarestrictRbf3	Kempirical
AT7519	36.5238031481246	6.17010623688211	0	0.304851140456182	0.136555430486285	0.0348139255702281	AT7519	KrnarestrictRbf3	Kempirical
AZD1480	40.3564972999331	6.12393467156065	0	0.32969412247084	0.133698091577331	0.110769230769231	AZD1480	KrnarestrictRbf3	Kempirical
Afatinib..BIBW.2992.	39.4218657411583	6.51954784535647	0	0.177371809100999	0.11996205397226	-0.00298642533936652	Afatinib..BIBW.2992.	KrnarestrictRbf3	Kempirical
Alisertib..MLN8237.	36.8970067573455	5.99857515845814	0	0.248509796015745	0.12824477492326	0.0145137880986938	Alisertib..MLN8237.	KrnarestrictRbf3	Kempirical
Axitinib..AG.013736.	39.3843237564024	3.62176944427905	0	0.460852863320268	0.138147707020046	0.211667842002269	Axitinib..AG.013736.	KrnarestrictRbf3	Kempirical
BEZ235	51.3960826425737	3.18195234748827	0	0.273616421382004	0.124871617573889	0.0563800904977376	BEZ235	KrnarestrictRbf3	Kempirical
BI.2536	41.5634960221567	8.69561416321501	0	0.16313025210084	0.2641886378931	-0.171428571428571	BI.2536	KrnarestrictRbf3	Kempirical
BMS.345541	30.7596693449542	3.95211663995268	0	0.0765460599334073	0.129096248359396	-0.11131221719457	BMS.345541	KrnarestrictRbf3	Kempirical
Barasertib..AZD1152.HQPA.	38.8546624149664	6.31338739807748	0	0.410769230769231	0.20698449410702	-0.00497737556561086	Barasertib..AZD1152.HQPA.	KrnarestrictRbf3	Kempirical
Bay.11.7085	35.8543009472239	6.59634074277116	0	0.452992783374689	0.116545147143092	0.308622908622909	Bay.11.7085	KrnarestrictRbf3	Kempirical
Bortezomib..Velcade.	55.2571855642754	5.87808009480877	0	0.251666718121572	0.122359985937744	0.0773499530436267	Bortezomib..Velcade.	KrnarestrictRbf3	Kempirical
Bosutinib..SKI.606.	42.3150540483243	5.19394624533527	0	0.42619774987151	0.102543509941688	0.214377187740118	Bosutinib..SKI.606.	KrnarestrictRbf3	Kempirical
CHIR.99021	33.0766354794368	7.07106437655704	0	0.132445754265389	0.13000945667374	-0.0451591559749759	CHIR.99021	KrnarestrictRbf3	Kempirical
CI.1040..PD184352.	45.8755128354458	5.11049037569228	0	0.422402458806454	0.0783875383951623	0.281055237769999	CI.1040..PD184352.	KrnarestrictRbf3	Kempirical
CYT387	42.09842486233	3.38067745614995	0	0.340513105096901	0.0922377932607406	0.14606334841629	CYT387	KrnarestrictRbf3	Kempirical
Cabozantinib	44.8150291153045	7.19885769655258	0	0.533676598651071	0.0830427530219973	0.354389140271493	Cabozantinib	KrnarestrictRbf3	Kempirical
Canertinib..CI.1033.	34.772444868379	4.38531596837482	0	0.46034440365406	0.0960446349883323	0.335097754631606	Canertinib..CI.1033.	KrnarestrictRbf3	Kempirical
Cediranib..AZD2171.	34.5866045074456	5.96515172620186	0	0.4135441142487	0.0995340850144637	0.243131936526327	Cediranib..AZD2171.	KrnarestrictRbf3	Kempirical
Crenolanib	39.7637820876713	4.21386463819389	0	0.517454243235756	0.0943421773025459	0.296380090497738	Crenolanib	KrnarestrictRbf3	Kempirical
Crizotinib..PF.2341066.	36.5477719097066	3.88535850948926	0	0.273904078377763	0.132771917831568	0.114149008885851	Crizotinib..PF.2341066.	KrnarestrictRbf3	Kempirical
DBZ	43.6401024546191	8.06140046875699	0	0.132408906882591	0.169479464846685	-0.1417004048583	DBZ	KrnarestrictRbf3	Kempirical
Dasatinib	52.0947614837217	3.75768875117377	0	0.49440665986994	0.103991405386722	0.333766233766234	Dasatinib	KrnarestrictRbf3	Kempirical
Doramapimod..BIRB.796.	51.3289937784636	3.72116414174406	0	0.437395143149656	0.106377307377101	0.264434389140271	Doramapimod..BIRB.796.	KrnarestrictRbf3	Kempirical
Dovitinib..CHIR.258.	43.5917196878501	2.63165840540448	0	0.577040211730556	0.045938529632409	0.53393665158371	Dovitinib..CHIR.258.	KrnarestrictRbf3	Kempirical
Elesclomol	46.1305622797785	7.45750631675306	0	0.541081632653061	0.0860525348644599	0.408211284513806	Elesclomol	KrnarestrictRbf3	Kempirical
Entospletinib..GS.9973.	39.7581484442172	3.13874220280161	0	0.476147147111713	0.12996226801687	0.272525027808676	Entospletinib..GS.9973.	KrnarestrictRbf3	Kempirical
Entrectinib	38.9998569199062	6.74148023878478	0	0.287272727272727	0.317335092709895	-0.209090909090909	Entrectinib	KrnarestrictRbf3	Kempirical
Erlotinib	30.1854649393476	3.07698412268341	0	0.421774891774892	0.114418616338196	0.202886002886003	Erlotinib	KrnarestrictRbf3	Kempirical
Flavopiridol	52.4338673250566	5.31241635091437	0	0.395280540454056	0.114141882364363	0.14982239421016	Flavopiridol	KrnarestrictRbf3	Kempirical
Foretinib..XL880.	42.7906769900562	4.8088851200229	0	0.583773755656109	0.0693192722875795	0.497285067873303	Foretinib..XL880.	KrnarestrictRbf3	Kempirical
GDC.0879	32.3893507952023	4.59531399289736	0	0.080077842189121	0.119626328606933	-0.164421489005802	GDC.0879	KrnarestrictRbf3	Kempirical
GDC.0941	42.175351684527	6.01972776055653	0	0.329778738507429	0.122739906149323	0.166512488436633	GDC.0941	KrnarestrictRbf3	Kempirical
GSK.1838705A	38.4763010123401	5.22058971659964	0	0.306240704253953	0.129175380554478	0.0605429864253394	GSK.1838705A	KrnarestrictRbf3	Kempirical
GSK.1904529A	36.5511536172914	4.04798115098676	0	0.218221932217012	0.0789279834799372	0.0841628959276018	GSK.1904529A	KrnarestrictRbf3	Kempirical
GSK690693	38.2531940957612	5.08894860322107	0	0.215755512980835	0.115676836026562	-0.0566515837104072	GSK690693	KrnarestrictRbf3	Kempirical
GW.2580	36.1749627287315	2.51601787675257	0	0.37299044853601	0.110738328899821	0.223265306122449	GW.2580	KrnarestrictRbf3	Kempirical
Gefitinib	30.9256478445752	4.50549549383706	0	0.338774569316251	0.144117966417382	0.0733044733044733	Gefitinib	KrnarestrictRbf3	Kempirical
Gilteritinib..ASP.2215.	47.3543928345972	7.40565530480458	0	0.436278938452851	0.0762351833475228	0.308865047995483	Gilteritinib..ASP.2215.	KrnarestrictRbf3	Kempirical
Go6976	37.5447821111016	5.26203611567338	0	0.481958041958042	0.158129879072262	0.27972027972028	Go6976	KrnarestrictRbf3	Kempirical
INK.128	49.9351633595765	8.47587301687494	0	0.333108511909844	0.188422722241319	0.0514812601383079	INK.128	KrnarestrictRbf3	Kempirical
Ibrutinib..PCI.32765.	41.3779917911155	3.41922639346613	0	0.489013857161736	0.0966369301177044	0.351063829787234	Ibrutinib..PCI.32765.	KrnarestrictRbf3	Kempirical
Idelalisib	46.6219292565542	6.40625374151428	0	0.28503481392557	0.156807887081507	-0.0326050420168067	Idelalisib	KrnarestrictRbf3	Kempirical
Imatinib	39.1453139133042	2.22812039670419	0	0.2547805806969	0.139221531616862	0.0197692507129894	Imatinib	KrnarestrictRbf3	Kempirical
JAK.Inhibitor.I	44.6533929994628	4.3966332138552	0	0.319435499018185	0.0950206039024151	0.167079313583198	JAK.Inhibitor.I	KrnarestrictRbf3	Kempirical
JNJ.28312141	53.1176404915001	4.81330287307422	0	0.458816926770708	0.115545340018384	0.273877551020408	JNJ.28312141	KrnarestrictRbf3	Kempirical
JNJ.38877605	31.8636492592293	4.48134180243813	0	0.235292239392128	0.177253328973026	0.0841799709724238	JNJ.38877605	KrnarestrictRbf3	Kempirical
JNJ.7706621	30.3981302822483	2.93549462176671	0	0.206345750685373	0.125498307372196	0.0337042412514111	JNJ.7706621	KrnarestrictRbf3	Kempirical
JQ1	39.1047002841356	4.97091533986214	0	0.476061776061776	0.221459753113417	0.0844272844272844	JQ1	KrnarestrictRbf3	Kempirical
KI20227	55.4259591204057	7.0677749226214	0	0.300986536122884	0.101387991225421	0.114550806282229	KI20227	KrnarestrictRbf3	Kempirical
KU.55933	39.4109296351294	4.48081801174128	0	0.319588604244551	0.166371239147071	-0.0428904150443031	KU.55933	KrnarestrictRbf3	Kempirical
KW.2449	44.7249370804952	6.04721781843521	0	0.547163003423461	0.112545909884512	0.379185520361991	KW.2449	KrnarestrictRbf3	Kempirical
LY.333531	28.1685963860151	1.93834476585086	0	0.527306791124771	0.0824560657591266	0.399812174506958	LY.333531	KrnarestrictRbf3	Kempirical
Lapatinib	31.5462489908265	3.57787197193112	0	0.361266574096763	0.0928197206604706	0.271139971139971	Lapatinib	KrnarestrictRbf3	Kempirical
Lenalidomide	47.6013101328855	13.8184483719843	0	0.455519842143414	0.234898693565607	-0.0667839344207393	Lenalidomide	KrnarestrictRbf3	Kempirical
Lenvatinib	35.7989727741112	4.98797790600156	0	0.553370429252782	0.0689666405307363	0.480952380952381	Lenvatinib	KrnarestrictRbf3	Kempirical
Lestaurtinib..CEP.701.	42.0655813342318	6.60123122111811	0	0.404335664335664	0.215448884950964	0.1	Lestaurtinib..CEP.701.	KrnarestrictRbf3	Kempirical
Linifanib..ABT.869.	46.9327552293908	3.41247306033847	0	0.495558839855084	0.128334324551812	0.329121488943908	Linifanib..ABT.869.	KrnarestrictRbf3	Kempirical
Lovastatin	48.6154545882613	8.77307038304128	0	0.0838116555062348	0.16089565335881	-0.22539786833467	Lovastatin	KrnarestrictRbf3	Kempirical
MGCD.265	44.331943004299	4.38184520614089	0	0.472268722873765	0.11184169465644	0.223241296518607	MGCD.265	KrnarestrictRbf3	Kempirical
MK.2206	54.3575041702269	4.98312719701828	0	0.278427469218528	0.130978653209103	0.131903436763098	MK.2206	KrnarestrictRbf3	Kempirical
MLN120B	42.3360531094375	5.42086919566846	0	0.186688654393755	0.0946969361574259	0.0299547511312217	MLN120B	KrnarestrictRbf3	Kempirical
MLN8054	31.5741084337007	3.36680660694599	0	0.134318533561626	0.195772117033436	-0.191287272460384	MLN8054	KrnarestrictRbf3	Kempirical
Masitinib..AB.1010.	45.3644631094645	3.90618207206294	0	0.241690276110444	0.13407785591386	0.117599039615846	Masitinib..AB.1010.	KrnarestrictRbf3	Kempirical
Midostaurin	44.1702265923981	5.1001302622849	0	0.474272970726752	0.112139731601141	0.246968325791855	Midostaurin	KrnarestrictRbf3	Kempirical
Motesanib..AMG.706.	42.9686815193365	5.13629382859379	0	0.445845635101161	0.107686997030441	0.229334564015002	Motesanib..AMG.706.	KrnarestrictRbf3	Kempirical
NF.kB.Activation.Inhibitor	48.7085849956	2.27509891138946	0	0.384335249779961	0.103276559564588	0.264434389140271	NF.kB.Activation.Inhibitor	KrnarestrictRbf3	Kempirical
NVP.ADW742	36.6583469769576	6.60763874749464	0	0.391197108681834	0.0749253575231986	0.272398190045249	NVP.ADW742	KrnarestrictRbf3	Kempirical
NVP.TAE684	40.8537697745469	4.79822122360642	0	0.459505728423217	0.140688339868984	0.193469387755102	NVP.TAE684	KrnarestrictRbf3	Kempirical
Neratinib..HKI.272.	45.1369384169746	4.24734021602744	0	0.331733970801673	0.13900617414895	0.105438401775805	Neratinib..HKI.272.	KrnarestrictRbf3	Kempirical
Nilotinib	33.7318482651362	2.47874638094446	0	0.456770131725831	0.109511244158712	0.276102619641292	Nilotinib	KrnarestrictRbf3	Kempirical
Nutlin.3a	26.7957613958111	8.43449729845919	0	0.394810060972595	0.106086470722129	0.258711457408655	Nutlin.3a	KrnarestrictRbf3	Kempirical
PD173955	53.8124604161614	7.83816698794982	0	0.330728481843152	0.117966306704808	0.132590553060021	PD173955	KrnarestrictRbf3	Kempirical
PHA.665752	38.7619470932778	4.11340700837148	0	0.35032663590003	0.176530684315958	0.0423538994203291	PHA.665752	KrnarestrictRbf3	Kempirical
PHT.427	33.7616828539376	6.98288148653392	0	0.18250049324087	0.149976725386395	0.0249207301664482	PHT.427	KrnarestrictRbf3	Kempirical
PI.103	45.8358557851019	5.5013141558151	0	0.330550328694613	0.147238716197453	0.0749321266968326	PI.103	KrnarestrictRbf3	Kempirical
PLX.4720	32.3396413968872	3.50984235925612	0	0.303636363636364	0.242608590477777	-0.0839160839160839	PLX.4720	KrnarestrictRbf3	Kempirical
PP242	46.6703159763928	5.91927093593496	0	0.341544096303253	0.160193352081682	-0.0286860753009477	PP242	KrnarestrictRbf3	Kempirical
PRT062607	37.9545100633266	6.19811325446883	0	0.409454356970665	0.103035551047264	0.238733031674208	PRT062607	KrnarestrictRbf3	Kempirical
Palbociclib	30.5953277488806	5.24776622573932	0	0.492940170940171	0.194126096117083	0.143076923076923	Palbociclib	KrnarestrictRbf3	Kempirical
Panobinostat	57.7773713568273	9.75175556144497	0	0.471432184579956	0.144714661176834	0.25	Panobinostat	KrnarestrictRbf3	Kempirical
Pazopanib..GW786034.	39.2899400022789	3.30489748694973	0	0.417014705578637	0.123204380138739	0.232323232323232	Pazopanib..GW786034.	KrnarestrictRbf3	Kempirical
Pelitinib..EKB.569.	38.0101230371685	3.32733801624638	0	0.452544352428925	0.0908781771619555	0.258733031674208	Pelitinib..EKB.569.	KrnarestrictRbf3	Kempirical
Ponatinib..AP24534.	46.6313316260153	4.92852668132548	0	0.453309143686502	0.0989181412185892	0.273212669683258	Ponatinib..AP24534.	KrnarestrictRbf3	Kempirical
Quizartinib..AC220.	42.6905513861277	3.28626396509902	0	0.532457475297811	0.0906989449432407	0.395438175270108	Quizartinib..AC220.	KrnarestrictRbf3	Kempirical
RAF265..CHIR.265.	42.0060248329109	2.75508891950845	0	0.314979037768954	0.126230018985298	0.12672268907563	RAF265..CHIR.265.	KrnarestrictRbf3	Kempirical
Rapamycin	49.302983522828	3.13311403882548	0	0.479376053715676	0.0977632738054761	0.311454164284353	Rapamycin	KrnarestrictRbf3	Kempirical
Regorafenib..BAY.73.4506.	32.6579226795744	2.82554689545441	0	0.530148211389055	0.144295653444739	0.323998975497311	Regorafenib..BAY.73.4506.	KrnarestrictRbf3	Kempirical
Roscovitine..CYC.202.	35.7318564205154	8.43966707345502	0	0.364797947035898	0.0788326916847099	0.220011952531375	Roscovitine..CYC.202.	KrnarestrictRbf3	Kempirical
Ruxolitinib..INCB018424.	33.8412099852112	4.56256218285583	0	0.255132446933045	0.067720982409847	0.156215979625834	Ruxolitinib..INCB018424.	KrnarestrictRbf3	Kempirical
S31.201	48.3113072838389	7.80582488699429	0	0.274134607745413	0.103856817211998	0.0819909502262443	S31.201	KrnarestrictRbf3	Kempirical
SB.431542	43.5785813206145	5.75451582798291	0	0.258308842651399	0.114115048227051	0.0598480321010843	SB.431542	KrnarestrictRbf3	Kempirical
SGX.523	36.0859144671013	8.69385825346435	0	0.235873671501366	0.0792036531804585	0.123006727850687	SGX.523	KrnarestrictRbf3	Kempirical
SNS.032..BMS.387032.	35.3093484263281	4.18708332037682	0	0.361162810552378	0.0989095465291045	0.204815162639802	SNS.032..BMS.387032.	KrnarestrictRbf3	Kempirical
SR9011	39.7766616412689	11.5868165496252	0	0.344286672140208	0.175499209320917	0.0701298701298701	SR9011	KrnarestrictRbf3	Kempirical
STO609	26.3890470922749	3.79899105905122	0	0.224025380825171	0.16351668839977	-0.0451731362499173	STO609	KrnarestrictRbf3	Kempirical
SU11274	36.0845015476893	2.55717932799396	0	0.285263973250664	0.0935224934362341	0.121719457013575	SU11274	KrnarestrictRbf3	Kempirical
Saracatinib..AZD0530.	35.2403429802857	5.07135028465646	0	0.467130197216768	0.0812087545848341	0.339793391957654	Saracatinib..AZD0530.	KrnarestrictRbf3	Kempirical
Selinexor	55.0430432431817	11.2068220211542	0	0.187373949579832	0.340663069473799	-0.457142857142857	Selinexor	KrnarestrictRbf3	Kempirical
Selumetinib..AZD6244.	51.964654287376	5.07785471599688	0	0.612384475956882	0.0857905186328992	0.48	Selumetinib..AZD6244.	KrnarestrictRbf3	Kempirical
Sorafenib	40.1506529114514	3.17922734896422	0	0.56308954203691	0.0443883647297286	0.473615857826384	Sorafenib	KrnarestrictRbf3	Kempirical
Staurosporine	61.4869350394917	9.05968011128235	0	0.157342657342657	0.312393449866891	-0.251748251748252	Staurosporine	KrnarestrictRbf3	Kempirical
Sunitinib	38.3042331976544	3.29129570043703	0	0.53736196551986	0.0911759512304886	0.392754613807245	Sunitinib	KrnarestrictRbf3	Kempirical
TG100.115	33.9953400153087	5.09006892203893	0	0.231450142424975	0.146007509125385	0.00574673635297201	TG100.115	KrnarestrictRbf3	Kempirical
TG101348	34.9829486333837	8.83552120545704	0	0.253776223776224	0.295632020736937	-0.118181818181818	TG101348	KrnarestrictRbf3	Kempirical
Tandutinib..MLN518.	43.5904541768954	8.95811831277296	0	0.087972027972028	0.221101635059068	-0.309090909090909	Tandutinib..MLN518.	KrnarestrictRbf3	Kempirical
Tivozanib..AV.951.	54.3022828829922	3.5417638768025	0	0.439291063582363	0.0898469752790527	0.279638009049774	Tivozanib..AV.951.	KrnarestrictRbf3	Kempirical
Tofacitinib..CP.690550.	39.1715223524063	3.15913291809534	0	0.191347904038248	0.104170228676562	0.0121232818236148	Tofacitinib..CP.690550.	KrnarestrictRbf3	Kempirical
Tozasertib..VX.680.	38.2563345434211	4.05639803342113	0	0.345983105998713	0.162832742162652	0.0298642533936652	Tozasertib..VX.680.	KrnarestrictRbf3	Kempirical
